Contacts	TotalForwards
861302	8789
861802	8795
862302	8803
862802	8805
863302	8807
863802	8812
864302	8818
864802	8822
865302	8826
865802	8833
866302	8837
866802	8841
867302	8845
867803	8851
868303	8857
868803	8860
869303	8866
869803	8869
870303	8875
870806	8881
871306	8887
871806	8890
872306	8898
872806	8901
873306	8905
873806	8913
874306	8915
874806	8917
875306	8926
875806	8933
876306	8941
876807	8949
877307	8953
877807	8957
878307	8966
878807	8970
879307	8974
879808	8977
880308	8979
880808	8984
881309	8990
881809	8994
882309	8999
882809	8999
883309	9002
883809	9006
884309	9012
884809	9019
885309	9026
885809	9035
886310	9037
886810	9042
887310	9051
887810	9053
888310	9054
888810	9057
889310	9063
889810	9076
890310	9082
890810	9084
891310	9089
891810	9093
892310	9097
892810	9106
893310	9110
893810	9114
894310	9115
894810	9120
895310	9126
895811	9129
896311	9136
896811	9138
897311	9143
897811	9148
898311	9152
898811	9158
899311	9161
899812	9164
900312	9172
900812	9180
901312	9182
901812	9187
902312	9191
902812	9195
903312	9202
903812	9205
904313	9211
904813	9214
905313	9220
905814	9226
906314	9232
906814	9234
907314	9242
907815	9244
908316	9250
908816	9255
909316	9259
909816	9262
910316	9267
910816	9269
911316	9273
911816	9276
912316	9279
912816	9285
913316	9288
913816	9296
914316	9303
914816	9315
915316	9322
915816	9329
916316	9330
916816	9334
917316	9340
917816	9343
918316	9346
918816	9355
919317	9360
919817	9365
920317	9370
920817	9377
921317	9382
921817	9385
922317	9395
922817	9396
923317	9399
923818	9405
924319	9415
924819	9430
925319	9437
925819	9440
926319	9445
926819	9451
927320	9456
927820	9461
928320	9465
928820	9476
929320	9481
929820	9485
930320	9495
930820	9498
931320	9504
931821	9510
932321	9514
932821	9520
933321	9528
933821	9531
934321	9533
934821	9542
935321	9544
935821	9545
936321	9550
936822	9557
937323	9565
937823	9570
938323	9575
938824	9582
939324	9586
939824	9590
940324	9592
940825	9598
941325	9600
941825	9601
942325	9607
942825	9612
943325	9615
943825	9619
944325	9621
944825	9624
945325	9629
945825	9637
946325	9641
946825	9646
947325	9649
947825	9653
948325	9657
948826	9664
949326	9669
949827	9672
950327	9676
950827	9683
951327	9687
951827	9692
952327	9697
952827	9705
953327	9711
953827	9715
954327	9716
954827	9718
955327	9723
955827	9729
956327	9735
956827	9740
957327	9742
957827	9754
958327	9760
958827	9765
959328	9768
959828	9778
960328	9783
960828	9788
961329	9796
961829	9802
962329	9810
962829	9815
963329	9818
963829	9824
964329	9825
964830	9825
965330	9831
965830	9840
966330	9846
966830	9853
967330	9864
967830	9867
968330	9873
968830	9874
969330	9883
969830	9889
970332	9899
970832	9907
971332	9911
971832	9916
972332	9920
972832	9931
973334	9938
973836	9945
974337	9950
974837	9955
975337	9958
975837	9960
976337	9966
976837	9971
977337	9976
977837	9982
978337	9989
978837	9995
979337	10003
979838	10005
980338	10009
980838	10014
981338	10019
981838	10019
982338	10024
982838	10029
983338	10036
983838	10040
984339	10045
984839	10049
985339	10054
985840	10057
986340	10058
986840	10071
987340	10078
987840	10081
988340	10088
988840	10096
989341	10102
989841	10106
990341	10111
990841	10114
991341	10119
991841	10124
992342	10128
992842	10133
993342	10137
993843	10145
994344	10151
994844	10154
995344	10159
995844	10165
996344	10170
996844	10174
997346	10177
997846	10182
998346	10185
998846	10191
999346	10195
999846	10199
1000347	10202
1000847	10207
1001347	10211
1001847	10222
1002347	10230
1002847	10233
1003348	10237
1003848	10240
1004348	10244
1004848	10252
1005348	10261
1005848	10264
1006349	10272
1006850	10277
1007350	10282
1007850	10284
1008350	10289
1008850	10294
1009350	10299
1009851	10303
1010351	10307
1010851	10314
1011351	10320
1011852	10324
1012352	10329
1012853	10334
1013354	10341
1013854	10345
1014354	10348
1014854	10353
1015354	10359
1015854	10362
1016355	10363
1016856	10366
1017356	10369
1017856	10372
1018357	10378
1018858	10384
1019358	10389
1019858	10394
1020358	10399
1020858	10403
1021358	10403
1021858	10407
1022359	10413
1022859	10420
1023359	10423
1023859	10431
1024359	10435
1024859	10440
1025360	10443
1025860	10451
1026360	10457
1026860	10461
1027360	10463
1027860	10464
1028360	10470
1028860	10476
1029360	10485
1029860	10492
1030360	10496
1030860	10499
1031360	10505
1031860	10508
1032360	10511
1032860	10517
1033360	10522
1033860	10530
1034360	10533
1034861	10542
1035362	10546
1035863	10549
1036363	10556
1036863	10559
1037363	10560
1037863	10566
1038363	10569
1038863	10577
1039363	10579
1039863	10582
1040363	10584
1040864	10592
1041364	10600
1041864	10603
1042364	10606
1042864	10614
1043365	10619
1043865	10631
1044365	10638
1044865	10643
1045365	10647
1045865	10654
1046365	10656
1046865	10662
1047365	10667
1047865	10669
1048365	10674
1048865	10678
1049365	10679
1049865	10684
1050365	10690
1050866	10693
1051366	10697
1051866	10701
1052366	10706
1052866	10711
1053366	10718
1053868	10721
1054368	10726
1054868	10730
1055368	10735
1055870	10742
1056370	10749
1056870	10752
1057371	10757
1057871	10766
1058371	10775
1058872	10780
1059372	10782
1059872	10787
1060372	10791
1060872	10794
1061372	10800
1061872	10807
1062373	10810
1062873	10814
1063373	10819
1063873	10820
1064373	10826
1064874	10830
1065374	10833
1065874	10837
1066374	10839
1066874	10844
1067374	10849
1067874	10853
1068374	10860
1068874	10861
1069375	10874
1069875	10882
1070375	10889
1070875	10893
