Contacts	TotalForwards
1031257	17681
1031758	17686
1032258	17697
1032758	17708
1033258	17717
1033759	17727
1034259	17734
1034759	17737
1035259	17745
1035759	17757
1036259	17766
1036759	17774
1037260	17777
1037760	17786
1038261	17799
1038761	17809
1039261	17817
1039761	17831
1040263	17841
1040765	17846
1041266	17856
1041767	17858
1042267	17866
1042767	17874
1043267	17884
1043767	17898
1044268	17903
1044768	17910
1045269	17915
1045771	17921
1046271	17926
1046771	17936
1047271	17946
1047771	17954
1048271	17964
1048771	17972
1049271	17983
1049771	17990
1050271	17999
1050772	18010
1051272	18019
1051774	18025
1052275	18029
1052775	18040
1053275	18050
1053775	18060
1054276	18065
1054776	18075
1055276	18084
1055776	18091
1056276	18097
1056776	18106
1057276	18117
1057776	18125
1058277	18132
1058778	18141
1059280	18156
1059780	18168
1060280	18174
1060780	18181
1061281	18184
1061782	18195
1062282	18197
1062783	18206
1063283	18218
1063783	18228
1064283	18242
1064784	18253
1065287	18264
1065787	18274
1066287	18283
1066787	18289
1067288	18296
1067788	18305
1068290	18316
1068791	18324
1069292	18335
1069792	18346
1070293	18355
1070793	18363
1071293	18372
1071793	18382
1072293	18387
1072794	18396
1073294	18408
1073794	18417
1074294	18422
1074795	18429
1075296	18433
1075796	18437
1076296	18449
1076797	18456
1077298	18466
1077798	18471
1078299	18478
1078799	18488
1079299	18502
1079799	18506
1080299	18511
1080799	18516
1081299	18526
1081800	18536
1082300	18546
1082801	18559
1083301	18573
1083801	18583
1084302	18591
1084802	18603
1085303	18612
1085804	18619
1086304	18625
1086805	18632
1087305	18638
1087805	18647
1088308	18656
1088809	18660
1089311	18665
1089812	18670
1090312	18673
1090812	18687
1091313	18698
1091813	18715
1092313	18726
1092813	18734
1093313	18744
1093813	18755
1094313	18762
1094814	18774
1095314	18783
1095814	18790
1096314	18799
1096815	18813
1097315	18824
1097815	18834
1098316	18843
1098816	18851
1099316	18860
1099817	18864
1100318	18875
1100818	18887
1101318	18897
1101818	18902
1102318	18909
1102818	18916
1103318	18925
1103819	18936
1104321	18945
1104821	18956
1105322	18962
1105823	18971
1106323	18976
1106823	18988
1107324	18995
1107824	19003
1108325	19012
1108825	19022
1109325	19042
1109825	19047
1110325	19055
1110825	19062
1111325	19067
1111826	19077
1112326	19084
1112828	19089
1113328	19097
1113828	19103
1114329	19108
1114831	19119
1115331	19129
1115831	19134
1116332	19144
1116832	19152
1117332	19159
1117833	19168
1118334	19181
1118834	19189
1119335	19198
1119835	19209
1120335	19225
1120835	19231
1121336	19239
1121837	19245
1122339	19257
1122839	19265
1123339	19275
1123839	19279
1124340	19286
1124840	19291
1125340	19295
1125840	19298
1126341	19311
1126841	19323
1127341	19332
1127841	19338
1128341	19347
1128841	19353
1129341	19361
1129841	19369
1130341	19376
1130841	19383
1131341	19394
1131841	19401
1132344	19406
1132844	19417
1133348	19427
1133848	19434
1134348	19445
1134848	19452
1135349	19463
1135849	19468
1136350	19480
1136850	19486
1137350	19501
1137850	19513
1138350	19519
1138850	19530
1139351	19538
1139852	19547
1140352	19560
1140852	19568
1141352	19578
1141852	19588
1142352	19597
1142852	19603
1143352	19609
1143853	19614
1144353	19619
1144855	19624
1145355	19631
1145855	19640
1146355	19655
1146855	19664
1147355	19675
1147855	19681
1148355	19691
